Temp,cmp1,cmp2,cmp3,cmp4,cmp5,cmp6,cmp7,cmp8,cmp9,cmp10,cmp11,cmp12,cmp13
413.16,66296.59,36580.33,35005.65,3479.65,17351.15,3299.72,5340.24,870.61,3222.52,2805.62,987.75,4105.81,300.27
413.26,66479.08,36696.93,35112.84,3494.12,17415.53,3312.51,5360.9,874.89,3235.73,2817.2,992.04,4123.29,301.76
413.36,66661.97,36813.83,35220.29,3508.65,17480.09,3325.34,5381.62,879.18,3248.98,2828.83,996.34,4140.84,303.26
413.46,66845.25,36931.05,35328.02,3523.22,17544.85,3338.21,5402.41,883.49,3262.29,2840.5,1000.66,4158.45,304.76
413.56,67028.93,37048.58,35436.02,3537.85,17609.8,3351.12,5423.28,887.82,3275.64,2852.21,1005,4176.12,306.27
413.66,67213.01,37166.42,35544.3,3552.53,17674.94,3364.08,5444.21,892.17,3289.04,2863.97,1009.35,4193.86,307.79
413.76,67397.49,37284.57,35652.85,3567.26,17740.27,3377.08,5465.21,896.53,3302.49,2875.76,1013.72,4211.66,309.31
413.86,67582.37,37403.04,35761.67,3582.04,17805.8,3390.12,5486.29,900.92,3315.99,2887.6,1018.1,4229.53,310.84
413.96,67767.65,37521.82,35870.76,3596.88,17871.53,3403.21,5507.44,905.32,3329.54,2899.48,1022.51,4247.46,312.37
414.06,67953.33,37640.92,35980.13,3611.76,17937.45,3416.34,5528.65,909.74,3343.13,2911.4,1026.93,4265.46,313.91
414.16,68139.42,37760.33,36089.78,3626.71,18003.57,3429.51,5549.94,914.18,3356.78,2923.37,1031.36,4283.53,315.46
414.26,68325.9,37880.06,36199.7,3641.7,18069.88,3442.73,5571.3,918.64,3370.47,2935.38,1035.82,4301.65,317.02
414.36,68512.79,38000.11,36309.89,3656.74,18136.38,3455.99,5592.74,923.12,3384.21,2947.43,1040.29,4319.85,318.58
414.46,68700.09,38120.47,36420.37,3671.84,18203.09,3469.3,5614.24,927.62,3398.01,2959.52,1044.78,4338.11,320.15
414.56,68887.79,38241.15,36531.12,3687,18269.99,3482.65,5635.82,932.14,3411.85,2971.66,1049.28,4356.44,321.73
414.66,69075.89,38362.15,36642.15,3702.2,18337.09,3496.04,5657.47,936.68,3425.74,2983.84,1053.81,4374.83,323.31
414.76,69264.4,38483.48,36753.46,3717.46,18404.38,3509.48,5679.19,941.23,3439.68,2996.06,1058.35,4393.3,324.9
414.86,69453.31,38605.12,36865.04,3732.77,18471.88,3522.97,5700.99,945.81,3453.67,3008.33,1062.91,4411.82,326.49
414.96,69642.63,38727.08,36976.91,3748.14,18539.57,3536.49,5722.86,950.4,3467.71,3020.64,1067.48,4430.42,328.1
415.06,69832.36,38849.36,37089.05,3763.56,18607.47,3550.06,5744.8,955.02,3481.8,3032.99,1072.08,4449.08,329.71
415.16,70022.5,38971.97,37201.48,3779.04,18675.56,3563.68,5766.82,959.65,3495.94,3045.39,1076.69,4467.81,331.33
415.26,70213.04,39094.9,37314.19,3794.57,18743.85,3577.34,5788.91,964.31,3510.13,3057.83,1081.32,4486.61,332.95
415.36,70404,39218.15,37427.18,3810.15,18812.34,3591.05,5811.07,968.98,3524.37,3070.32,1085.96,4505.48,334.58
415.46,70595.36,39341.72,37540.45,3825.79,18881.04,3604.8,5833.31,973.67,3538.67,3082.85,1090.63,4524.41,336.22
415.56,70787.14,39465.63,37654,3841.48,18949.93,3618.6,5855.62,978.39,3553.01,3095.42,1095.31,4543.41,337.86
415.66,70979.33,39589.85,37767.84,3857.23,19019.03,3632.44,5878.01,983.12,3567.41,3108.04,1100.01,4562.48,339.52
415.76,71171.92,39714.41,37881.96,3873.03,19088.33,3646.33,5900.47,987.87,3581.85,3120.71,1104.73,4581.62,341.18
415.86,71364.93,39839.29,37996.37,3888.89,19157.83,3660.27,5923.01,992.65,3596.35,3133.42,1109.46,4600.83,342.84
415.96,71558.36,39964.49,38111.06,3904.81,19227.54,3674.25,5945.62,997.44,3610.9,3146.17,1114.22,4620.11,344.52
416.06,71752.19,40090.03,38226.03,3920.78,19297.44,3688.27,5968.31,1002.25,3625.5,3158.97,1118.99,4639.45,346.2
416.16,71946.44,40215.9,38341.29,3936.8,19367.56,3702.35,5991.07,1007.09,3640.16,3171.81,1123.78,4658.87,347.89
416.26,72141.11,40342.09,38456.84,3952.88,19437.87,3716.46,6013.91,1011.94,3654.86,3184.7,1128.59,4678.36,349.58
416.36,72336.19,40468.62,38572.68,3969.02,19508.39,3730.63,6036.83,1016.82,3669.62,3197.64,1133.41,4697.91,351.29
416.46,72531.69,40595.47,38688.8,3985.21,19579.12,3744.84,6059.82,1021.71,3684.43,3210.62,1138.26,4717.54,353
416.56,72727.6,40722.66,38805.21,4001.46,19650.05,3759.1,6082.89,1026.63,3699.29,3223.64,1143.12,4737.23,354.71
416.66,72923.93,40850.18,38921.91,4017.77,19721.19,3773.4,6106.03,1031.56,3714.21,3236.71,1148.01,4757,356.44
416.76,73120.68,40978.03,39038.9,4034.13,19792.54,3787.75,6129.26,1036.52,3729.18,3249.83,1152.91,4776.84,358.17
416.86,73317.85,41106.22,39156.18,4050.55,19864.09,3802.15,6152.56,1041.5,3744.2,3263,1157.83,4796.75,359.91
416.96,73515.44,41234.74,39273.75,4067.03,19935.85,3816.6,6175.93,1046.5,3759.27,3276.21,1162.77,4816.73,361.66
417.06,73713.44,41363.6,39391.61,4083.56,20007.81,3831.09,6199.39,1051.52,3774.4,3289.46,1167.72,4836.78,363.41
417.16,73911.87,41492.79,39509.76,4100.15,20079.99,3845.63,6222.92,1056.56,3789.58,3302.76,1172.7,4856.9,365.17
417.26,74110.72,41622.32,39628.2,4116.8,20152.37,3860.21,6246.53,1061.62,3804.82,3316.11,1177.69,4877.1,366.94
417.36,74309.99,41752.18,39746.94,4133.51,20224.97,3874.85,6270.22,1066.7,3820.11,3329.51,1182.71,4897.36,368.72
417.46,74509.68,41882.38,39865.97,4150.27,20297.77,3889.53,6293.99,1071.81,3835.45,3342.95,1187.74,4917.7,370.51
417.56,74709.79,42012.93,39985.29,4167.09,20370.78,3904.26,6317.84,1076.93,3850.85,3356.44,1192.79,4938.11,372.3
417.66,74910.33,42143.81,40104.91,4183.97,20444,3919.04,6341.76,1082.08,3866.3,3369.98,1197.86,4958.6,374.1
417.76,75111.29,42275.03,40224.82,4200.91,20517.44,3933.87,6365.77,1087.25,3881.8,3383.57,1202.95,4979.16,375.91
